,City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,-159.78,-21.21,71.6,60,15,8.05
1,Hobart,AU,147.33,-42.88,44.01,87,90,8.05
2,New Norfolk,AU,147.06,-42.78,44.01,87,90,8.05
3,Chililabombwe,ZM,27.84,-12.37,72.68,47,69,6.34
4,Sai Buri,TH,101.62,6.7,73.76,94,15,1.61
5,Norman Wells,CA,-126.83,65.28,33.8,80,75,4.7
6,Lebu,ET,38.73,8.96,59.0,82,40,6.93
7,Gingoog,PH,125.1,8.82,75.0,91,100,4.0
8,Punta Arenas,CL,-70.91,-53.16,48.0,63,40,39.15
9,Talaya,RU,84.89,55.79,36.0,47,93,1.99
10,Airai,TL,125.41,-8.93,66.92,27,44,4.89
11,Klaksvik,FO,-6.59,62.23,48.2,76,92,13.87
12,East London,ZA,27.91,-33.02,64.4,82,95,6.93
13,Thompson,CA,-97.86,55.74,37.4,51,75,14.99
14,Caravelas,BR,-39.27,-17.73,79.88,64,53,13.45
15,Hermanus,ZA,19.24,-34.42,60.01,87,77,14.77
16,Mar del Plata,AR,-67.52,-46.43,48.74,62,11,8.31
17,Kupang,ID,123.6,-10.16,77.9,73,11,8.45
18,Saint-Philippe,CA,-73.48,45.36,69.01,39,1,11.41
19,Mozarlandia,BR,-50.57,-14.74,99.14,25,56,8.11
20,Manakara,MG,48.01,-22.14,73.04,86,82,7.65
21,Bermeo,ES,-2.72,43.42,75.0,93,0,3.36
22,Saint-Francois,FR,3.91,46.42,60.01,76,0,3.04
23,Dikson,RU,80.55,73.51,31.1,95,100,18.37
24,Cape Town,ZA,18.42,-33.93,62.01,82,54,19.46
25,Ixtapa,MX,-105.21,20.71,90.0,70,40,11.41
26,Busselton,AU,115.35,-33.64,55.0,63,81,9.56
27,Butaritari,KI,172.79,3.07,85.1,58,92,6.48
28,Vaini,IN,74.49,15.34,69.44,99,93,3.43
29,Jumla,NP,82.18,29.28,43.52,93,22,1.72
30,Kachug,RU,105.89,53.96,17.78,68,0,3.02
31,Rikitea,PF,-134.97,-23.12,68.36,61,100,8.29
32,Bluff,AU,149.07,-23.58,62.06,91,37,4.07
33,Miracema do Tocantins,BR,-48.4,-9.56,92.48,39,35,5.33
34,Puerto Ayora,EC,-90.35,-0.74,77.0,61,20,13.87
35,Hithadhoo,MV,73.08,-0.6,82.58,77,100,15.97
36,Sola,TZ,33.8,-3.17,77.0,45,84,19.14
37,Nuevo Progreso,US,-97.95,26.05,97.0,44,20,3.36
38,Haines Junction,CA,-137.51,60.75,29.12,96,100,6.02
39,Ushuaia,AR,-68.31,-54.81,42.8,56,40,11.41
40,Kuching,MY,110.34,1.56,75.2,100,75,1.12
41,Port Elizabeth,US,-74.98,39.31,71.6,42,90,11.41
42,Mahebourg,MU,57.7,-20.41,73.4,78,75,6.93
43,Laguna,BZ,-88.94,16.17,87.8,74,40,4.7
44,Pangai,TO,-174.35,-19.8,77.0,83,40,11.41
45,Vila Velha,BR,-38.6,-3.71,86.0,66,20,16.11
46,Muisne,EC,-80.02,0.61,84.2,74,40,10.29
47,Trairi,BR,-39.27,-3.28,93.38,35,35,12.26
48,Iqaluit,CA,-68.52,63.75,37.4,59,75,14.99
49,Lavrentiya,RU,-170.99,65.58,28.58,55,0,3.09
50,Yellowknife,CA,-114.38,62.45,39.2,80,75,23.04
51,Port Alfred,ZA,26.89,-33.59,64.0,74,100,4.0
52,Datong,CN,113.3,40.09,52.34,69,100,4.25
53,Nikolskoye,RU,30.79,59.7,50.0,87,75,8.95
54,Ribeira Grande,PT,-28.7,38.52,66.2,77,90,10.29
55,Bredasdorp,ZA,20.04,-34.53,57.99,76,57,3.36
56,Saldanha,PT,-6.55,41.42,72.68,38,83,8.63
57,Bethel,US,-161.76,60.79,33.8,100,20,10.29
58,Hamilton,CA,-79.87,43.26,69.01,63,20,12.75
59,North Vanlaiphai,IN,93.07,23.13,64.04,99,57,1.86
60,Victoria,BN,115.24,5.28,78.8,88,75,4.83
61,Saint George,GR,22.34,39.45,68.0,82,20,5.82
62,Dilla,ET,38.31,6.41,51.8,95,86,3.6
63,Padang,ID,100.36,-0.92,67.46,97,99,1.7
64,Rio Gallegos,AR,-69.22,-51.62,53.6,22,40,21.92
65,Georgetown,GY,-58.16,6.8,89.6,62,20,11.41
66,Albany,US,-73.75,42.65,68.0,34,90,6.93
67,Geraldton,CA,-86.95,49.72,55.4,93,90,11.41
68,Nome,US,-94.42,30.04,72.0,87,90,17.22
69,Makakilo City,US,-158.09,21.35,80.6,100,90,5.82
70,Kodiak,US,-94.76,39.95,46.99,52,40,19.46
71,Sitka,US,-99.65,37.17,50.0,28,0,21.99
72,Upernavik,GL,-56.15,72.79,31.64,52,100,7.21
73,Tutoia,BR,-42.27,-2.76,86.0,66,20,19.46
74,Moerai,PF,-151.33,-22.43,68.0,70,48,19.07
75,Barrow,AR,-60.23,-38.31,69.26,46,84,10.78
76,Rawson,AR,-65.11,-43.3,53.42,64,18,20.41
77,Cabo San Lucas,MX,-109.91,22.89,91.4,62,20,13.87
78,Norrtalje,SE,18.7,59.76,51.01,93,75,8.05
79,Laurel,US,-76.85,39.1,73.99,38,2,6.85
80,Vila Franca do Campo,PT,-25.43,37.72,64.4,93,75,4.7
81,Kapaa,US,-159.32,22.08,80.6,78,75,16.11
